year,category,amount
1970,Gross Federal Debt,380921.0
1971,Gross Federal Debt,408176.0
1972,Gross Federal Debt,435936.0
1973,Gross Federal Debt,466291.0
1974,Gross Federal Debt,483893.0
1975,Gross Federal Debt,541925.0
1976,Gross Federal Debt,628970.0
1977,Gross Federal Debt,706398.0
1978,Gross Federal Debt,776602.0
1979,Gross Federal Debt,829467.0
1980,Gross Federal Debt,909041.0
1981,Gross Federal Debt,994828.0
1982,Gross Federal Debt,1137315.0
1983,Gross Federal Debt,1371660.0
1984,Gross Federal Debt,1564586.0
1985,Gross Federal Debt,1817423.0
1986,Gross Federal Debt,2120501.0
1987,Gross Federal Debt,2345956.0
1988,Gross Federal Debt,2601104.0
1989,Gross Federal Debt,2867800.0
1990,Gross Federal Debt,3206290.0
1991,Gross Federal Debt,3598178.0
1992,Gross Federal Debt,4001787.0
1993,Gross Federal Debt,4351044.0
1994,Gross Federal Debt,4643307.0
1995,Gross Federal Debt,4920586.0
1996,Gross Federal Debt,5181465.0
1997,Gross Federal Debt,5369206.0
1998,Gross Federal Debt,5478189.0
1999,Gross Federal Debt,5605523.0
2000,Gross Federal Debt,5628700.0
2001,Gross Federal Debt,5769881.0
2002,Gross Federal Debt,6198401.0
2003,Gross Federal Debt,6760014.0
2004,Gross Federal Debt,7354657.0
2005,Gross Federal Debt,7905300.0
2006,Gross Federal Debt,8451350.0
2007,Gross Federal Debt,8950744.0
2008,Gross Federal Debt,9986082.0
2009,Gross Federal Debt,11875851.0
2010,Gross Federal Debt,13528807.0
2011,Gross Federal Debt,14764222.0
2012,Gross Federal Debt,16050921.0
2013,Gross Federal Debt,16719434.0
2014,Gross Federal Debt,17794483.0
2015,Gross Federal Debt,18120106.0
2016,Gross Federal Debt,19539450.0
2017,Gross Federal Debt,20205704.0
2018,Gross Federal Debt,21462277.0
2019,Gross Federal Debt,22669466.0
2020,Gross Federal Debt,26902455.0
2021,Gross Federal Debt,28385562.0
2022,Gross Federal Debt,30838586.0
2023,Gross Federal Debt,32988990.0
2024,Gross Federal Debt,35231312.0
1970,Held by Federal Government Accounts,97723.0
1971,Held by Federal Government Accounts,105140.0
1972,Held by Federal Government Accounts,113559.0
1973,Held by Federal Government Accounts,125381.0
1974,Held by Federal Government Accounts,140194.0
1975,Held by Federal Government Accounts,147225.0
1976,Held by Federal Government Accounts,151566.0
1977,Held by Federal Government Accounts,157294.0
1978,Held by Federal Government Accounts,169476.0
1979,Held by Federal Government Accounts,189161.0
1980,Held by Federal Government Accounts,197118.0
1981,Held by Federal Government Accounts,205418.0
1982,Held by Federal Government Accounts,212740.0
1983,Held by Federal Government Accounts,234392.0
1984,Held by Federal Government Accounts,257611.0
1985,Held by Federal Government Accounts,310163.0
1986,Held by Federal Government Accounts,379878.0
1987,Held by Federal Government Accounts,456203.0
1988,Held by Federal Government Accounts,549487.0
1989,Held by Federal Government Accounts,677084.0
1990,Held by Federal Government Accounts,794733.0
1991,Held by Federal Government Accounts,909179.0
1992,Held by Federal Government Accounts,1002050.0
1993,Held by Federal Government Accounts,1102647.0
1994,Held by Federal Government Accounts,1210242.0
1995,Held by Federal Government Accounts,1316208.0
1996,Held by Federal Government Accounts,1447392.0
1997,Held by Federal Government Accounts,1596862.0
1998,Held by Federal Government Accounts,1757090.0
1999,Held by Federal Government Accounts,1973160.0
2000,Held by Federal Government Accounts,2218896.0
2001,Held by Federal Government Accounts,2450266.0
2002,Held by Federal Government Accounts,2657974.0
2003,Held by Federal Government Accounts,2846570.0
2004,Held by Federal Government Accounts,3059113.0
2005,Held by Federal Government Accounts,3313088.0
2006,Held by Federal Government Accounts,3622378.0
2007,Held by Federal Government Accounts,3915615.0
2008,Held by Federal Government Accounts,4183032.0
2009,Held by Federal Government Accounts,4331144.0
2010,Held by Federal Government Accounts,4509926.0
2011,Held by Federal Government Accounts,4636035.0
2012,Held by Federal Government Accounts,4769790.0
2013,Held by Federal Government Accounts,4736721.0
2014,Held by Federal Government Accounts,5014584.0
2015,Held by Federal Government Accounts,5003414.0
2016,Held by Federal Government Accounts,5371826.0
2017,Held by Federal Government Accounts,5540265.0
2018,Held by Federal Government Accounts,5712710.0
2019,Held by Federal Government Accounts,5868766.0
2020,Held by Federal Government Accounts,5885786.0
2021,Held by Federal Government Accounts,6101522.0
2022,Held by Federal Government Accounts,6585141.0
2023,Held by Federal Government Accounts,6753398.0
2024,Held by Federal Government Accounts,7035737.0
1970,Held by the Public - Total,283198.0
1971,Held by the Public - Total,303037.0
1972,Held by the Public - Total,322377.0
1973,Held by the Public - Total,340910.0
1974,Held by the Public - Total,343699.0
1975,Held by the Public - Total,394700.0
1976,Held by the Public - Total,477404.0
1977,Held by the Public - Total,549104.0
1978,Held by the Public - Total,607126.0
1979,Held by the Public - Total,640306.0
1980,Held by the Public - Total,711923.0
1981,Held by the Public - Total,789410.0
1982,Held by the Public - Total,924575.0
1983,Held by the Public - Total,1137268.0
1984,Held by the Public - Total,1306975.0
1985,Held by the Public - Total,1507260.0
1986,Held by the Public - Total,1740623.0
1987,Held by the Public - Total,1889753.0
1988,Held by the Public - Total,2051616.0
1989,Held by the Public - Total,2190716.0
1990,Held by the Public - Total,2411558.0
1991,Held by the Public - Total,2688999.0
1992,Held by the Public - Total,2999737.0
1993,Held by the Public - Total,3248396.0
1994,Held by the Public - Total,3433065.0
1995,Held by the Public - Total,3604378.0
1996,Held by the Public - Total,3734073.0
1997,Held by the Public - Total,3772344.0
1998,Held by the Public - Total,3721099.0
1999,Held by the Public - Total,3632363.0
2000,Held by the Public - Total,3409804.0
2001,Held by the Public - Total,3319615.0
2002,Held by the Public - Total,3540427.0
2003,Held by the Public - Total,3913443.0
2004,Held by the Public - Total,4295544.0
2005,Held by the Public - Total,4592212.0
2006,Held by the Public - Total,4828972.0
2007,Held by the Public - Total,5035129.0
2008,Held by the Public - Total,5803050.0
2009,Held by the Public - Total,7544707.0
2010,Held by the Public - Total,9018882.0
2011,Held by the Public - Total,10128187.0
2012,Held by the Public - Total,11281131.0
2013,Held by the Public - Total,11982713.0
2014,Held by the Public - Total,12779899.0
2015,Held by the Public - Total,13116692.0
2016,Held by the Public - Total,14167624.0
2017,Held by the Public - Total,14665439.0
2018,Held by the Public - Total,15749567.0
2019,Held by the Public - Total,16800700.0
2020,Held by the Public - Total,21016669.0
2021,Held by the Public - Total,22284040.0
2022,Held by the Public - Total,24253445.0
2023,Held by the Public - Total,26235592.0
2024,Held by the Public - Total,28195575.0
1970,Held by the Public - Federal Reserve,57714.0
1971,Held by the Public - Federal Reserve,65518.0
1972,Held by the Public - Federal Reserve,71426.0
1973,Held by the Public - Federal Reserve,75181.0
1974,Held by the Public - Federal Reserve,80648.0
1975,Held by the Public - Federal Reserve,84993.0
1976,Held by the Public - Federal Reserve,94714.0
1977,Held by the Public - Federal Reserve,105004.0
1978,Held by the Public - Federal Reserve,115480.0
1979,Held by the Public - Federal Reserve,115594.0
1980,Held by the Public - Federal Reserve,120846.0
1981,Held by the Public - Federal Reserve,124466.0
1982,Held by the Public - Federal Reserve,134497.0
1983,Held by the Public - Federal Reserve,155527.0
1984,Held by the Public - Federal Reserve,155122.0
1985,Held by the Public - Federal Reserve,169806.0
1986,Held by the Public - Federal Reserve,190855.0
1987,Held by the Public - Federal Reserve,212040.0
1988,Held by the Public - Federal Reserve,229218.0
1989,Held by the Public - Federal Reserve,220088.0
1990,Held by the Public - Federal Reserve,234410.0
1991,Held by the Public - Federal Reserve,258591.0
1992,Held by the Public - Federal Reserve,296397.0
1993,Held by the Public - Federal Reserve,325653.0
1994,Held by the Public - Federal Reserve,355150.0
1995,Held by the Public - Federal Reserve,374114.0
1996,Held by the Public - Federal Reserve,390924.0
1997,Held by the Public - Federal Reserve,424518.0
1998,Held by the Public - Federal Reserve,458182.0
1999,Held by the Public - Federal Reserve,496644.0
2000,Held by the Public - Federal Reserve,511413.0
2001,Held by the Public - Federal Reserve,534135.0
2002,Held by the Public - Federal Reserve,604191.0
2003,Held by the Public - Federal Reserve,656116.0
2004,Held by the Public - Federal Reserve,700341.0
