category,year,amount
National Defense,1970,81692.0
National Defense,1971,78872.0
National Defense,1972,79174.0
National Defense,1973,76681.0
National Defense,1974,79347.0
National Defense,1975,86509.0
National Defense,1976,89619.0
National Defense,1977,97241.0
National Defense,1978,104495.0
National Defense,1979,116342.0
National Defense,1980,133995.0
National Defense,1981,157513.0
National Defense,1982,185309.0
National Defense,1983,209903.0
National Defense,1984,227411.0
National Defense,1985,252743.0
National Defense,1986,273373.0
National Defense,1987,281996.0
National Defense,1988,290360.0
National Defense,1989,303555.0
National Defense,1990,299321.0
National Defense,1991,273285.0
National Defense,1992,298346.0
National Defense,1993,291084.0
National Defense,1994,281640.0
National Defense,1995,272063.0
National Defense,1996,265748.0
National Defense,1997,270502.0
National Defense,1998,268194.0
National Defense,1999,274769.0
National Defense,2000,294363.0
National Defense,2001,304732.0
National Defense,2002,348456.0
National Defense,2003,404733.0
National Defense,2004,455813.0
National Defense,2005,495294.0
National Defense,2006,521820.0
National Defense,2007,551258.0
National Defense,2008,616066.0
National Defense,2009,661012.0
National Defense,2010,693485.0
National Defense,2011,705554.0
National Defense,2012,677852.0
National Defense,2013,633446.0
National Defense,2014,603457.0
National Defense,2015,589659.0
National Defense,2016,593372.0
National Defense,2017,598723.0
National Defense,2018,631251.0
National Defense,2019,685707.0
National Defense,2020,724588.0
National Defense,2021,753897.0
National Defense,2022,765649.0
National Defense,2023,820263.0
National Defense,2024,873523.0
"Education, Training, Employment, and Social Services",1970,8634.0
"Education, Training, Employment, and Social Services",1971,9849.0
"Education, Training, Employment, and Social Services",1972,12529.0
"Education, Training, Employment, and Social Services",1973,12744.0
"Education, Training, Employment, and Social Services",1974,12455.0
"Education, Training, Employment, and Social Services",1975,16022.0
"Education, Training, Employment, and Social Services",1976,18910.0
"Education, Training, Employment, and Social Services",1977,21104.0
"Education, Training, Employment, and Social Services",1978,26706.0
"Education, Training, Employment, and Social Services",1979,30218.0
"Education, Training, Employment, and Social Services",1980,31835.0
"Education, Training, Employment, and Social Services",1981,33146.0
"Education, Training, Employment, and Social Services",1982,26609.0
"Education, Training, Employment, and Social Services",1983,26192.0
"Education, Training, Employment, and Social Services",1984,26913.0
"Education, Training, Employment, and Social Services",1985,28584.0
"Education, Training, Employment, and Social Services",1986,29771.0
"Education, Training, Employment, and Social Services",1987,28915.0
"Education, Training, Employment, and Social Services",1988,30939.0
"Education, Training, Employment, and Social Services",1989,35314.0
"Education, Training, Employment, and Social Services",1990,37167.0
"Education, Training, Employment, and Social Services",1991,41260.0
"Education, Training, Employment, and Social Services",1992,42807.0
"Education, Training, Employment, and Social Services",1993,47455.0
"Education, Training, Employment, and Social Services",1994,43337.0
"Education, Training, Employment, and Social Services",1995,51067.0
"Education, Training, Employment, and Social Services",1996,48334.0
"Education, Training, Employment, and Social Services",1997,49014.0
"Education, Training, Employment, and Social Services",1998,50534.0
"Education, Training, Employment, and Social Services",1999,50608.0
"Education, Training, Employment, and Social Services",2000,53766.0
