year,debt_pct_gdp
1939,44.30793
1940,41.59418
1941,37.27505
1942,40.85519
1943,62.92963
1944,82.3357
1945,103.15473
1946,106.31331
1947,89.85802
1948,78.807
1949,78.64942
1950,73.04212
1951,61.77323
1952,58.47428
1953,56.11251
1954,57.48318
1955,53.25775
1956,49.44887
1957,46.26202
1958,47.02543
1959,44.99151
1960,43.65927
1961,42.40416
1962,41.06491
1963,39.84626
1964,37.51863
1965,35.13456
1966,32.41892
1967,31.00148
1968,30.77656
1969,27.32861
1970,26.38584
1971,26.01193
1972,25.20503
1973,23.9165
1974,22.24246
1975,23.42567
1976,25.48292
1977,26.37588
1978,25.81648
1979,24.37072
1980,24.91507
1981,24.61459
1982,27.65127
1983,31.29577
1984,32.37061
1985,34.73859
1986,38.00743
1987,38.9231
1988,39.1793
1989,38.83132
1990,40.44175
1991,43.66586
1992,46.00536
1993,47.36272
1994,47.11114
1995,47.17956
1996,46.25348
1997,43.97875
1998,41.05898
1999,37.71504
2000,33.26325
2001,31.37046
2002,32.39423
2003,34.15892
2004,35.15946
2005,35.21843
2006,34.95328
2007,34.78666
2008,39.29014
2009,52.11124
2010,59.93034
2011,64.92547
2012,69.4052
2013,70.98469
2014,72.57951
2015,71.69547
2016,75.33989
2017,74.7773
2018,76.24519
2019,77.99774
2020,98.32245
2021,93.92368
2022,93.08678
2023,94.33358
