scenario,year,deficit_billions
feb_2026_current_law,2025,1775.4
feb_2026_current_law,2026,1852.7
feb_2026_current_law,2027,1887.2
feb_2026_current_law,2028,2079.7
feb_2026_current_law,2029,2019.7
feb_2026_current_law,2030,2200.6
feb_2026_current_law,2031,2285.7
feb_2026_current_law,2032,2439.4
feb_2026_current_law,2033,2780.7
feb_2026_current_law,2034,2818.5
feb_2026_current_law,2035,2779.0
feb_2026_current_law,2036,3115.4
jan_2025_baseline,2026,1713.3
jan_2025_baseline,2027,1686.9
jan_2025_baseline,2028,1910.8
jan_2025_baseline,2029,1938.3
jan_2025_baseline,2030,2139.7
jan_2025_baseline,2031,2232.8
jan_2025_baseline,2032,2370.6
jan_2025_baseline,2033,2637.3
jan_2025_baseline,2034,2597.2
jan_2025_baseline,2035,2531.4
no_tariff_revenue,2026,2204.5
no_tariff_revenue,2027,2239.7
no_tariff_revenue,2028,2436.4
no_tariff_revenue,2029,2374.3
no_tariff_revenue,2030,2551.9
no_tariff_revenue,2031,2631.6
no_tariff_revenue,2032,2773.5
no_tariff_revenue,2033,3111.2
no_tariff_revenue,2034,3149.4
no_tariff_revenue,2035,3119.5
