year,category,amount
1970,Individual Income Tax,90412.0
1971,Individual Income Tax,86230.0
1972,Individual Income Tax,94737.0
1973,Individual Income Tax,103246.0
1974,Individual Income Tax,118952.0
1975,Individual Income Tax,122386.0
1976,Individual Income Tax,131603.0
1977,Individual Income Tax,157626.0
1978,Individual Income Tax,180988.0
1979,Individual Income Tax,217841.0
1980,Individual Income Tax,244069.0
1981,Individual Income Tax,285917.0
1982,Individual Income Tax,297744.0
1983,Individual Income Tax,288938.0
1984,Individual Income Tax,298415.0
1985,Individual Income Tax,334531.0
1986,Individual Income Tax,348959.0
1987,Individual Income Tax,392557.0
1988,Individual Income Tax,401181.0
1989,Individual Income Tax,445690.0
1990,Individual Income Tax,466884.0
1991,Individual Income Tax,467827.0
1992,Individual Income Tax,475964.0
1993,Individual Income Tax,509680.0
1994,Individual Income Tax,543055.0
1995,Individual Income Tax,590244.0
1996,Individual Income Tax,656417.0
1997,Individual Income Tax,737466.0
1998,Individual Income Tax,828586.0
1999,Individual Income Tax,879480.0
2000,Individual Income Tax,1004462.0
2001,Individual Income Tax,994339.0
2002,Individual Income Tax,858345.0
2003,Individual Income Tax,793699.0
2004,Individual Income Tax,808959.0
2005,Individual Income Tax,927222.0
2006,Individual Income Tax,1043908.0
2007,Individual Income Tax,1163472.0
2008,Individual Income Tax,1145747.0
2009,Individual Income Tax,915308.0
2010,Individual Income Tax,898549.0
2011,Individual Income Tax,1091473.0
2012,Individual Income Tax,1132206.0
2013,Individual Income Tax,1316405.0
2014,Individual Income Tax,1394568.0
2015,Individual Income Tax,1540802.0
2016,Individual Income Tax,1546075.0
2017,Individual Income Tax,1587120.0
2018,Individual Income Tax,1683538.0
2019,Individual Income Tax,1717857.0
2020,Individual Income Tax,1608663.0
2021,Individual Income Tax,2044377.0
2022,Individual Income Tax,2632146.0
2023,Individual Income Tax,2176481.0
2024,Individual Income Tax,2426067.0
1970,Corporate Income Tax,32829.0
1971,Corporate Income Tax,26785.0
1972,Corporate Income Tax,32166.0
1973,Corporate Income Tax,36153.0
1974,Corporate Income Tax,38620.0
1975,Corporate Income Tax,40621.0
1976,Corporate Income Tax,41409.0
1977,Corporate Income Tax,54892.0
1978,Corporate Income Tax,59952.0
1979,Corporate Income Tax,65677.0
