year,category,amount
1970,Total Receipts,192807.0
1971,Total Receipts,187139.0
1972,Total Receipts,207309.0
1973,Total Receipts,230799.0
1974,Total Receipts,263224.0
1975,Total Receipts,279090.0
1976,Total Receipts,298060.0
1977,Total Receipts,355559.0
1978,Total Receipts,399561.0
1979,Total Receipts,463302.0
1980,Total Receipts,517112.0
1981,Total Receipts,599272.0
1982,Total Receipts,617766.0
1983,Total Receipts,600562.0
1984,Total Receipts,666438.0
1985,Total Receipts,734037.0
1986,Total Receipts,769155.0
1987,Total Receipts,854287.0
1988,Total Receipts,909238.0
1989,Total Receipts,991104.0
1990,Total Receipts,1031958.0
1991,Total Receipts,1054988.0
1992,Total Receipts,1091208.0
1993,Total Receipts,1154334.0
1994,Total Receipts,1258566.0
1995,Total Receipts,1351790.0
1996,Total Receipts,1453053.0
1997,Total Receipts,1579232.0
1998,Total Receipts,1721728.0
1999,Total Receipts,1827452.0
2000,Total Receipts,2025191.0
2001,Total Receipts,1991082.0
2002,Total Receipts,1853136.0
2003,Total Receipts,1782314.0
2004,Total Receipts,1880114.0
2005,Total Receipts,2153611.0
2006,Total Receipts,2406869.0
2007,Total Receipts,2567985.0
2008,Total Receipts,2523991.0
2009,Total Receipts,2104989.0
2010,Total Receipts,2162706.0
2011,Total Receipts,2303466.0
2012,Total Receipts,2449990.0
2013,Total Receipts,2775106.0
2014,Total Receipts,3021491.0
2015,Total Receipts,3249890.0
2016,Total Receipts,3267965.0
2017,Total Receipts,3316184.0
2018,Total Receipts,3329907.0
2019,Total Receipts,3463364.0
2020,Total Receipts,3421164.0
2021,Total Receipts,4047111.0
2022,Total Receipts,4897339.0
2023,Total Receipts,4440948.0
2024,Total Receipts,4919883.0
1970,Total Outlays,195649.0
1971,Total Outlays,210172.0
1972,Total Outlays,230681.0
1973,Total Outlays,245707.0
1974,Total Outlays,269359.0
1975,Total Outlays,332332.0
1976,Total Outlays,371792.0
1977,Total Outlays,409218.0
1978,Total Outlays,458746.0
1979,Total Outlays,504028.0
1980,Total Outlays,590941.0
1981,Total Outlays,678241.0
1982,Total Outlays,745743.0
1983,Total Outlays,808364.0
1984,Total Outlays,851805.0
1985,Total Outlays,946344.0
1986,Total Outlays,990382.0
1987,Total Outlays,1004017.0
1988,Total Outlays,1064416.0
1989,Total Outlays,1143743.0
1990,Total Outlays,1252993.0
1991,Total Outlays,1324226.0
1992,Total Outlays,1381529.0
1993,Total Outlays,1409386.0
1994,Total Outlays,1461752.0
1995,Total Outlays,1515742.0
1996,Total Outlays,1560484.0
1997,Total Outlays,1601116.0
1998,Total Outlays,1652458.0
1999,Total Outlays,1701842.0
2000,Total Outlays,1788950.0
2001,Total Outlays,1862846.0
2002,Total Outlays,2010894.0
2003,Total Outlays,2159899.0
2004,Total Outlays,2292841.0
2005,Total Outlays,2471957.0
2006,Total Outlays,2655050.0
